playerid,player,salary,opp,pos,team,proj,floor,ceil
328550,Cameron Batson,3000,HOU,WR,TEN,3.25,0.5625,8.0
37061,C.J. Beathard,5200,SEA,QB,SF,17.1,9.5,25.2
328305,Chad Beebe,3000,DET,WR,MIN,2.91,0.0,7.7
328711,Christian Blake,3000,TBB,WR,ATL,4.23,0.8,9.2
36828,C.J. Board,3000,DAL,WR,NYG,2.44,0.36,7.4
18294,Cameron Brate,2900,ATL,TE,TB,3.82,0.8,7.9
37073,Chris Carson,6200,SFO,RB,SEA,18.36,8.1,28.7
36837,Cethan Carter,2500,BAL,TE,CIN,0.42,-0.14500000000000002,3.6
1844185,Chase Claypool,5700,CLE,WR,PIT,9.99,4.3,17.0
21755,Chris Conley,3000,IND,WR,JAC,11.29,5.5,18.2
11654,Chase Daniel,4900,MIN,QB,DET,1.99,0.2475,7.1
36949,Corey Davis,6200,HOU,WR,TEN,14.56,7.6,22.1
328948,Chase Edmonds,4600,LAR,RB,ARI,8.89,3.0,16.5
37002,Chris Godwin,6600,ATL,WR,TB,14.56,7.5,22.0
35471,C.J. Ham,4000,DET,RB,MIN,1.63,0.15749999999999997,6.4
36908,Chad Hansen,4100,TEN,WR,HOU,9.2,4.0,16.0
11619,Chad Henne,5100,LAC,QB,KC,18.82,10.2,26.9
328421,Chris Herndon,2800,NEP,TE,NYJ,3.55,0.7,7.7
1844217,Cole Kmet,3000,GBP,TE,CHI,6.22,2.3,11.0
1844578,CeeDee Lamb,5200,NYG,WR,DAL,11.16,4.9,18.1
21635,Chris Manhertz,2500,NOS,TE,CAR,0.46,-0.135,3.6
11630,Cam Newton,5500,NYJ,QB,NE,15.68,6.7,24.9
16564,Cordarrelle Patterson,3000,GBP,WR,CHI,3.72,0.0,8.9
328705,Calvin Ridley,8500,TBB,WR,ATL,22.52,12.7,31.0
36991,Curtis Samuel,5300,NOS,WR,CAR,13.45,6.0,20.7
37980,Colin Thompson,2500,NOS,TE,CAR,0.32,-0.16999999999999998,3.4
328586,Cedrick Wilson,3000,NYG,WR,DAL,1.5,0.125,6.1
18106,Davante Adams,9200,CHI,WR,GB,25.52,15.2,35.7
12184,Danny Amendola,3900,MIN,WR,DET,11.59,5.7,18.6
37423,Dan Arnold,3100,LAR,TE,ARI,6.63,2.5,11.4
1844403,Devin Asiasi,2500,NYJ,TE,NE,2.24,0.31000000000000005,6.2
35607,Devontae Booker,4000,DEN,RB,LVR,6.39,1.1,13.4
11605,Drew Brees,5900,CAR,QB,NO,19.77,12.6,26.9
21552,Daniel Brown,2500,NEP,TE,NYJ,0.31,-0.1725,3.4
12189,Dez Bryant,3100,CIN,WR,BAL,3.04,0.51,7.4
21726,Damiere Byrd,3400,NYJ,WR,NE,9.47,4.2,16.3
18330,Derek Carr,5700,DEN,QB,LVR,18.09,10.1,25.9
18380,Derek Carrier,2500,DEN,TE,LVR,0.0,-0.25,4.3
36933,Darrell Daniels,2500,LAR,TE,ARI,1.19,0.04749999999999999,4.3
2184893,Dominique Dafney,2500,CHI,TE,GB,0.11,-0.2225,3.4
1844099,Devin Duvernay,3000,CIN,WR,BAL,2.43,0.35750000000000004,7.3
1844550,Darrynton Evans,4000,HOU,RB,TEN,3.82,0.705,9.8
18365,Darren Fells,2900,TEN,TE,HOU,3.93,0.9,8.0
35491,D.J. Foster,4000,LAR,RB,ARI,0.03,-0.2425,4.3
328826,DaeSean Hamilton,3000,LVR,WR,DEN,7.86,2.8,14.1
1844486,De'Michael Harris,3000,JAC,WR,IND,1.38,0.09499999999999997,5.3
18312,Demetrius Harris,2500,GBP,TE,CHI,0.51,-0.1225,3.6
35530,Derrick Henry,9400,HOU,RB,TEN,27.07,13.5,39.5
16563,DeAndre Hopkins,7900,LAR,WR,ARI,19.37,11.0,27.6
1247803,D'Ernest Johnson,4000,PIT,RB,CLE,0.51,-0.1225,4.7
21774,David Johnson,6800,TEN,RB,HOU,16.43,7.1,26.1
982055,Diontae Johnson,6700,CLE,WR,PIT,14.81,8.0,21.9
972884,Daniel Jones,5100,DAL,QB,NYG,18.0,9.6,26.8
1844396,Dalton Keene,2500,NYJ,TE,NE,1.33,0.08250000000000002,4.6
982202,Dawson Knox,3000,MIA,TE,BUF,5.84,2.0,10.5
11768,Dion Lewis,4000,DAL,RB,NYG,2.94,0.0,8.2
982657,Drew Lock,5000,LVR,QB,DEN,17.98,10.1,27.6
982879,D.K. Metcalf,7300,SFO,WR,SEA,18.23,10.2,26.5
1844428,Denzel Mims,3000,NEP,WR,NYJ,8.43,3.3,15.0
982082,David Montgomery,7700,GBP,RB,CHI,18.92,8.5,28.8
1844218,Darnell Mooney,4100,GBP,WR,CHI,8.47,3.1,14.7
328733,D.J. Moore,5700,NOS,WR,CAR,15.1,7.8,22.7
37076,David Moore,3000,SFO,WR,SEA,6.83,1.8,12.5
36844,David Njoku,2600,PIT,TE,CLE,4.05,0.8,7.9
36919,Dare Ogunbowale,4500,IND,RB,JAC,12.28,5.2,20.2
982597,Devine Ozigbo,4000,IND,RB,JAC,5.8,1.3,12.7
982107,Donald Parham,2900,KCC,TE,LAC,5.04,1.5,9.8
21637,DeVante Parker,5300,BUF,WR,MIA,11.37,5.6,18.2
1844157,Donovan Peoples-Jones,3500,PIT,WR,CLE,4.23,0.5,8.9
329006,Dante Pettis,3000,DAL,WR,NYG,3.03,0.5075,7.7
35615,Demarcus Robinson,4800,LAC,WR,KC,10.69,5.1,17.6
981992,Drew Sample,3100,BAL,TE,CIN,4.25,1.2,8.4
328583,Dalton Schultz,3000,NYG,TE,DAL,6.26,2.4,11.1
982203,Devin Singletary,4500,MIA,RB,BUF,8.14,2.7,15.2
982456,Darius Slayton,4100,DAL,WR,NYG,10.71,4.7,18.1
328366,Durham Smythe,2500,BUF,TE,MIA,3.08,0.3,7.0
748330,Diontae Spencer,3000,LVR,WR,DEN,3.58,0.1,8.4
1844244,D'Andre Swift,6300,MIN,RB,DET,18.77,8.7,30.0
982692,Darwin Thompson,4400,LAC,RB,KC,11.01,4.8,19.2
21556,Darren Waller,7100,DEN,TE,LVR,16.7,9.3,23.4
36923,Deshaun Watson,7700,TEN,QB,HOU,24.96,15.4,34.7
328854,Darrel Williams,4800,LAC,RB,KC,8.13,2.6,15.9
328768,Deon Yelder,3100,LAC,TE,KC,6.61,2.8,11.7
35540,Ezekiel Elliott,6400,NYG,RB,DAL,17.52,7.7,28.1
36968,Evan Engram,3700,DAL,TE,NYG,10.7,5.2,16.2
12326,Emmanuel Sanders,5500,CAR,WR,NO,15.98,8.4,23.9
36986,Eric Saubert,2500,IND,TE,JAC,0.74,-0.065,3.8
328269,Equanimeous St. Brown,3000,CHI,WR,GB,2.04,0.26,6.9
21704,Eric Tomlinson,2500,CIN,TE,BAL,0.34,-0.16499999999999998,3.4
982728,Foster Moreau,2500,DEN,TE,LVR,0.59,-0.10250000000000001,3.7
1849838,Freddie Swain,3000,SFO,WR,SEA,1.9,0.22499999999999998,6.6
16537,Giovani Bernard,5400,BAL,RB,CIN,12.45,5.3,20.4
1844330,Gabriel Davis,3600,MIA,WR,BUF,8.11,3.0,14.4
37024,Gehrig Dieter,3000,LAC,WR,KC,2.57,0.39249999999999996,7.3
328094,Gus Edwards,4900,CIN,RB,BAL,9.49,3.0,17.3
37058,Gerald Everett,2700,ARI,TE,LAR,6.62,2.9,11.1
328365,Gregory Howell,4000,TEN,RB,HOU,2.17,0.2925,6.6
37069,George Kittle,6000,SEA,TE,SF,16.3,9.3,23.1
2185293,Gabe Nabers,4000,KCC,RB,LAC,0.63,-0.0925,4.8
11819,Greg Olsen,2500,SFO,TE,SEA,4.47,1.1,9.1
1055342,Gunner Olszewski,3000,NYJ,WR,NE,2.21,0.3025,6.4
21690,Geoff Swaim,2500,HOU,TE,TEN,1.29,0.07250000000000001,5.2
1844246,Hunter Bryant,2500,MIN,TE,DET,0.15,-0.2125,3.4
